candidate_id,structured_record_id,source_family,source_url,component_support_type,deterministic_match_accepted,drought_hazard_support,wet_hazard_support,impact_support,explicit_linkage_support,administrative_only,reason
rawce_a05b6c8386097203,1075542,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_a05b6c8386097203,1075556,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_62025560c3a993a7,usdm_06025_2023-07-25,usdm_drought_official_structured,https://usdmdataservices.unl.edu/api/CountyStatistics/GetDroughtSeverityStatisticsByAreaPercent?aoi=06025&startdate=2023-07-25&enddate=2023-07-25&statisticsType=1,drought_hazard,True,yes,no,no,no,no,"Official USDM structured row was checked, but D1+ is not above the qualifying threshold."
rawce_62025560c3a993a7,1141473,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_62025560c3a993a7,1141475,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_62025560c3a993a7,1141024,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_62025560c3a993a7,1141174,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_05b52a80e2289be0,usdm_06103_2022-10-25,usdm_drought_official_structured,https://usdmdataservices.unl.edu/api/CountyStatistics/GetDroughtSeverityStatisticsByAreaPercent?aoi=06103&startdate=2022-10-25&enddate=2022-10-25&statisticsType=1,drought_hazard,True,yes,no,no,no,no,Official county-level USDM structured row supports antecedent drought context.
rawce_05b52a80e2289be0,1079225,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_05b52a80e2289be0,1078473,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
